ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID328506788,5 Binalong Ct,3,h,720000.0,25/02/2017,2.0,2.0,555.0,41.0,-37.7214,145.1034
ID765174330,17 Arkley Dr,4,h,645000.0,17/06/2017,2.0,2.0,538.0,19.0,-37.6499,144.9013
ID918119901,5 Ireland St,3,h,782500.0,17/06/2017,2.0,2.0,603.0,16.0,-38.09088,145.12933999999996
ID216781173,7/56 Golf Links Rd,1,u,362500.0,27/05/2017,1.0,1.0,124.0,39.0,-37.70917,144.92291
ID463937670,4 Benton Ct,3,h,1250000.0,17/09/2016,2.0,1.0,728.0,54.0,-37.7813,145.1318
ID759894569,1 Chester Cl,3,h,680000.0,3/06/2017,2.0,1.0,650.0,29.0,-37.64049,144.8846
ID520176242,1/48 Ormond Rd,2,u,1015000.0,13/08/2016,1.0,2.0,0.0,16.0,-37.8844,144.9855
ID262422184,1 Scott St,4,h,621000.0,9/09/2017,2.0,2.0,556.0,18.0,-37.89463,144.66857
ID845971558,46 Sesame St,5,h,2248000.0,15/07/2017,5.0,2.0,729.0,3.0,-37.86582,145.14824
ID365508725,18 Iluka St,4,h,2000000.0,9/09/2017,2.0,4.0,823.0,69.0,-37.9757,145.02535
ID892696983,13/5 Denham St,2,u,753000.0,7/05/2016,1.0,2.0,0.0,59.0,-37.8186,145.017
ID622929428,45 Hornby St,2,h,1325000.0,25/02/2017,1.0,0.0,140.0,49.0,-37.8547,144.9959
ID813132601,73 Linacre Rd,3,h,1403000.0,10/12/2016,1.0,2.0,495.0,69.0,-37.9428,145.0092
ID293818837,10 Haynes St,4,h,1535000.0,22/07/2017,2.0,2.0,719.0,21.0,-37.94999,145.03122
ID702994535,4/1 Allard St,2,u,473000.0,4/06/2016,1.0,2.0,568.0,49.0,-37.7682,144.9422
ID521004498,4 Invermay Gr,3,h,1768000.0,9/09/2017,2.0,2.0,304.0,49.0,-37.832770000000004,145.04373
ID271907809,24 Hill St,3,h,1316000.0,17/06/2017,1.0,1.0,636.0,61.0,-37.92463,145.06051000000005
ID242741424,6 Como St,4,h,2345000.0,1/07/2017,2.0,2.0,803.0,99.0,-37.78122000000001,145.0336
ID902594055,53 Wests Rd,3,t,560000.0,4/02/2016,2.0,2.0,83.0,19.0,-37.7719,144.8815
ID365951308,1 Carcoola Ct,3,h,1470000.0,25/02/2017,2.0,2.0,0.0,39.0,-37.9071,145.0439
ID363176058,4 Hansen St,3,h,900000.0,19/11/2016,2.0,2.0,236.0,19.0,-37.9215,145.0227
ID705680565,5 Stewart St,4,h,1870000.0,26/08/2017,2.0,2.0,663.0,24.0,-37.90617,145.02875
ID253190047,2/18 Islington St,3,u,1000000.0,22/04/2017,2.0,2.0,0.0,14.0,-37.8083,144.9908
ID572251300,31 Shelley St,3,h,1050000.0,7/11/2016,1.0,0.0,257.0,99.0,-37.881,144.9841
ID454125130,1/104 Cheddar Rd,3,h,410000.0,15/10/2016,1.0,1.0,250.0,59.0,-37.6974,145.0213
ID135199111,14/3 Struan St,2,u,760000.0,29/04/2017,1.0,1.0,0.0,39.0,-37.8359,145.0126
ID725447307,53 Gloucester Rd,2,h,1450000.0,8/04/2017,1.0,1.0,627.0,10.0,-37.8689,145.0882
ID275962970,19 Charles St,3,h,1290000.0,22/07/2017,2.0,1.0,196.0,109.0,-37.776509999999995,144.99074
ID225736683,5 Carrington St,4,h,1850000.0,7/11/2016,2.0,2.0,619.0,29.0,-37.8025,145.0843
ID778446050,33 Douglas St,3,h,1575000.0,19/08/2017,1.0,2.0,787.0,64.0,-37.86394,145.09702
ID374548678,97 Edwin St,4,h,1645000.0,12/08/2017,2.0,4.0,596.0,89.0,-37.75008,145.05051
ID829514231,25/5 Evans St,3,t,981000.0,13/05/2017,2.0,1.0,122.0,7.0,-37.7698,144.9661
ID657715163,35 Charles St,2,h,871000.0,22/05/2016,1.0,1.0,215.0,139.0,-37.7722,144.9637
ID678423541,6 Conrad Ct,3,h,1001000.0,17/06/2017,1.0,1.0,671.0,49.0,-37.802,145.15828
ID346379215,17/30 Miles St,2,u,625000.0,12/08/2017,1.0,1.0,0.0,59.0,-37.8281,144.96627
ID989649825,1/37 Yongala St,3,h,1255000.0,4/06/2016,2.0,2.0,308.0,18.0,-37.8056,145.0788
ID846463609,14 James St,3,h,900000.0,17/06/2017,1.0,1.0,252.0,16.0,-37.80552,144.88889
ID148927002,296A Williams Rd,3,h,2840000.0,11/03/2017,2.0,4.0,1317.0,19.0,-37.838,145.0054
ID237680255,9 Sargood St,2,h,642000.0,27/06/2016,1.0,0.0,167.0,79.0,-37.7477,144.9647
ID732519609,2/2 St Kinnord St,1,u,380000.0,3/12/2016,1.0,1.0,0.0,29.0,-37.7561,144.9028
ID466426950,13 George St,2,h,722000.0,13/08/2016,1.0,1.0,400.0,64.0,-37.7352,144.9852
ID908157448,50 Dorrit St,3,h,1760000.0,26/08/2017,1.0,2.0,9405.0,139.0,-37.79945,144.96653
ID725441006,7/110 Maribyrnong Rd,1,u,222000.0,17/06/2017,1.0,0.0,0.0,7.0,-37.77154,144.91597
ID209676217,103 Cassinia Cr,3,h,430000.0,15/07/2017,1.0,2.0,522.0,59.0,-37.64683,144.91106000000005
ID782819853,71 Carlisle St,3,h,1030000.0,28/05/2016,1.0,1.0,292.0,11.0,-37.8677,144.984
ID315228441,14 Knight St,3,h,1195000.0,19/11/2016,2.0,2.0,496.0,94.0,-37.7559,144.8991
ID675533633,6b Howell St,3,u,845000.0,22/04/2017,1.0,2.0,242.0,23.0,-37.9302,145.0331
ID576942955,9/80 Hobsons Rd,3,t,855000.0,3/06/2017,2.0,1.0,68.0,44.0,-37.79554,144.91679
ID574294583,8/57 Adams St,1,u,555000.0,12/11/2016,1.0,1.0,630.0,49.0,-37.8356,144.9773
ID961944440,22 Renwick St,4,h,2325000.0,4/06/2016,3.0,2.0,638.0,89.0,-37.8523,145.0726
ID474062899,2 Head St,3,h,1400000.0,26/07/2016,1.0,2.0,656.0,19.0,-37.7373,144.9217
ID600486948,11 Manhattan Sq,4,h,980000.0,12/08/2017,2.0,0.0,539.0,41.0,-37.83459000000001,145.21264
ID195109782,43 Green Av,3,h,740000.0,15/07/2017,1.0,2.0,633.0,44.0,-37.71402,145.0314
ID358364770,12 Ellesmere St,2,h,1290000.0,29/04/2017,1.0,0.0,259.0,94.0,-37.7741,145.0073
ID274928599,23A Wentworth Dr,3,t,502000.0,22/07/2017,2.0,2.0,198.0,15.0,-37.695029999999996,144.77868999999995
ID598249972,36 Wellington St,4,h,2268000.0,3/06/2017,2.0,2.0,616.0,131.0,-37.78474,144.9322
ID390543180,127 Deakin St,2,h,1280000.0,12/08/2017,1.0,1.0,512.0,89.0,-37.741209999999995,144.89273
ID347042134,63 Tucker Rd,4,t,1245000.0,28/08/2016,2.0,2.0,345.0,49.0,-37.9291,145.0491
ID532496363,6 Rosewall St,3,h,665000.0,22/05/2016,1.0,2.0,707.0,79.0,-37.7676,144.8339
ID765490808,62 Croydon Rd,3,h,985500.0,24/06/2017,1.0,2.0,973.0,11.0,-37.78964000000001,145.2829
ID209773751,1/18 Howard St,2,u,600000.0,24/06/2017,1.0,1.0,847.0,29.0,-37.80798,145.02347
ID190510805,143 Cornwall Rd,3,h,460000.0,7/11/2016,1.0,1.0,306.0,10.0,-37.7807,144.842
ID404000981,152 Middleborough Rd,4,h,1100000.0,16/09/2017,3.0,2.0,592.0,2.0,-37.843070000000004,145.13419
ID367622716,39 Frederick St,4,t,855000.0,3/12/2016,2.0,2.0,242.0,49.0,-37.7915,145.1258
ID940184468,9 Thompson St,4,h,934000.0,15/07/2017,2.0,1.0,581.0,44.0,-37.76421,144.85594
ID306326060,15 Berwick St,3,h,751000.0,27/11/2016,1.0,2.0,604.0,79.0,-37.723,145.0024
ID755557751,4 Raymond St,4,h,840000.0,30/07/2016,1.0,2.0,390.0,69.0,-37.7395,144.9843
ID201158862,46 Durham Rd,3,h,1715000.0,26/08/2017,1.0,2.0,438.0,113.0,-37.83015,145.09035
ID919648055,61 Canterbury St,3,h,1012000.0,13/08/2016,1.0,1.0,212.0,89.0,-37.7818,144.9247
ID678509998,33 Kensington Rd,3,h,1225000.0,12/08/2017,2.0,2.0,223.0,79.0,-37.794959999999996,144.92659
ID312106588,7/3 Tahara Rd,2,u,701500.0,4/06/2016,1.0,1.0,0.0,68.0,-37.8384,145.0178
ID947393754,22 Yangoora Pl,4,h,925000.0,24/06/2017,2.0,2.0,1070.0,39.0,-37.69999,145.1279
ID661230454,56 Henry St,3,h,1850000.0,3/12/2016,1.0,2.0,361.0,7.0,-37.8546,144.9865
ID372794703,15 Maughan Pde,5,h,1660000.0,28/05/2016,3.0,2.0,737.0,69.0,-37.7975,145.0961
ID712997570,5/350 Auburn Rd,3,t,1236000.0,24/06/2017,2.0,2.0,159.0,19.0,-37.83179000000001,145.04293
ID288502193,15 Fraser St,2,h,1025000.0,23/04/2016,1.0,0.0,123.0,109.0,-37.8551,144.968
ID751907221,23 Alden Ct,4,h,1120000.0,17/06/2017,2.0,2.0,806.0,19.0,-37.97245,145.07566
ID253113821,7/1 St Kilda Rd,3,u,616000.0,4/06/2016,2.0,2.0,0.0,24.0,-37.8573,144.9825
ID699695649,20 Warner St,2,h,890000.0,16/04/2016,1.0,1.0,649.0,69.0,-37.7445,144.9133
ID199298308,325 Forest Rd,3,h,477000.0,8/07/2017,1.0,1.0,518.0,59.0,-37.85971,145.31036
ID723255002,1 Dorothy St,3,h,802000.0,27/05/2017,2.0,1.0,450.0,59.0,-37.71872000000001,144.94871
ID752359351,76A Norfolk St,2,t,650000.0,15/07/2017,2.0,1.0,279.0,6.0,-37.78799,144.87515
ID975263609,1 Grout St,3,h,1325000.0,24/06/2017,1.0,2.0,400.0,69.0,-37.93434,145.00816
ID494708645,275 Thompsons Rd,3,h,1250000.0,23/09/2017,2.0,2.0,838.0,39.0,-37.76649000000001,145.10623
ID835438168,17 Delta Av,4,h,1011000.0,29/07/2017,2.0,2.0,500.0,89.0,-37.72165,144.95853
ID141559089,93 Hotham St,2,h,1430000.0,4/03/2017,1.0,0.0,231.0,119.0,-37.7969,144.9905
ID952309416,208/11 Hillingdon Pl,1,u,550000.0,8/04/2017,1.0,1.0,0.0,119.0,-37.8516,144.9943
ID484987492,1101/265 Exhibition St,3,u,895000.0,22/04/2017,2.0,3.0,0.0,13.0,-37.8095,144.9691
ID592169244,88 Gladstone St,3,h,1410000.0,8/07/2017,1.0,1.0,404.0,89.0,-37.79893,145.04266
ID992170514,15 Murray St,4,h,3000000.0,18/03/2017,2.0,2.0,661.0,89.0,-37.8844,145.0117
ID231199641,12 Northumberland Rd,3,h,815000.0,15/10/2016,1.0,2.0,628.0,64.0,-37.7295,144.9316
ID188931311,1 Hodgson Tce,3,h,1495000.0,27/11/2016,2.0,1.0,159.0,19.0,-37.8195,144.9974
ID425461074,16 Hayes Pde,5,h,950000.0,10/12/2016,2.0,2.0,705.0,69.0,-37.7328,144.9281
ID419993980,6 Prefect St,4,h,1715000.0,18/06/2016,3.0,2.0,650.0,18.0,-37.7363,144.9208
ID518009132,17/24 Dongola Rd,3,t,815000.0,8/04/2017,1.0,2.0,203.0,69.0,-37.7928,144.8811
ID820794818,33a Durrant St,2,h,1532000.0,22/08/2016,1.0,2.0,411.0,109.0,-37.9095,145.004
ID591336016,2/15 Pryton Ct,2,u,825000.0,20/05/2017,2.0,2.0,288.0,3.0,-37.8078,145.1031
ID490478786,5 Murphy St,3,h,1485000.0,20/05/2017,1.0,1.0,198.0,51.0,-37.8029,144.9459
ID223557742,314 Liberty Pde,3,h,580000.0,27/05/2017,1.0,2.0,429.0,69.0,-37.73704,145.03697
ID882250288,2/65 Parkhill Rd,3,t,1375000.0,17/06/2017,3.0,3.0,325.0,79.0,-37.80506,145.05223999999995
ID177193591,77 Spenser St,3,h,1900000.0,10/12/2016,2.0,2.0,289.0,40.0,-37.8726,144.9782
ID775515671,1/43 Cameron St,3,u,752000.0,11/02/2017,1.0,1.0,265.0,26.0,-37.7302,144.8855
ID610982919,92A Southern Rd,2,h,510000.0,25/02/2017,1.0,2.0,244.0,7.0,-37.7421,145.0491
ID952322245,12 Longfield St,3,h,1540000.0,25/02/2017,1.0,1.0,0.0,119.0,-37.8214,145.0119
ID292029163,364 Station St,3,h,750000.0,29/07/2017,1.0,2.0,463.0,8.0,-38.05635,145.11836
ID184975727,3/19 Chandos St,2,u,515000.0,27/06/2016,1.0,2.0,0.0,49.0,-37.7474,144.9608
ID130244458,2/1 Lillimur Rd,3,u,960000.0,13/05/2017,2.0,2.0,199.0,24.0,-37.9034,145.0409
ID252696593,13/37 Greville St,1,u,342000.0,3/09/2016,1.0,1.0,0.0,59.0,-37.8486,144.9872
ID117276266,31 Tuxen St,3,h,2900000.0,18/06/2016,2.0,2.0,917.0,6.0,-37.7968,145.0873
ID819018289,39 Barry St,3,h,1710000.0,4/06/2016,1.0,1.0,247.0,129.0,-37.7798,144.9952
ID305402476,27 Davey St,3,h,687000.0,12/11/2016,1.0,1.0,695.0,69.0,-37.7853,144.8114
ID303620238,56 Asling St,3,t,1990000.0,22/04/2017,2.0,2.0,0.0,84.0,-37.900999999999996,145.0026
ID406593707,7 Prospect Gr,4,h,2100000.0,12/11/2016,1.0,2.0,0.0,6.0,-37.7736,145.0004
ID766187642,2/8 Evelina St,4,t,1400000.0,12/11/2016,3.0,2.0,241.0,10.0,-37.8042,145.1042
ID711167132,132 Wonga Rd,3,h,1085000.0,24/06/2017,2.0,2.0,921.0,39.0,-37.78649,145.24836000000005
ID778504623,68 Osborne St,3,h,1710000.0,27/11/2016,2.0,1.0,260.0,3.0,-37.8671,144.9001
ID548655646,59b Fromer St,3,t,1275000.0,17/09/2016,2.0,2.0,309.0,99.0,-37.9287,145.0461
ID444424362,15 Grandview Rd,3,h,1460000.0,27/11/2016,1.0,1.0,705.0,18.0,-37.8746,145.1071
ID648318046,7 Francis St,3,h,1380000.0,4/03/2017,2.0,2.0,277.0,109.0,-37.7777,144.9221
ID358598791,344 High St,3,h,2302000.0,4/03/2017,1.0,4.0,440.0,124.0,-37.8528,144.9994
ID346254688,36 The Crescent,4,h,975000.0,15/10/2016,3.0,1.0,0.0,104.0,-37.7941,144.91899999999995
ID693708765,5 Luckins Rd,3,h,1165000.0,18/06/2016,1.0,2.0,694.0,69.0,-37.9315,145.0445
ID615757089,8 Wildberry Cl,4,h,905000.0,27/05/2017,2.0,2.0,731.0,34.0,-37.78021,145.26367
ID805269820,2 Tasman Ct,3,h,615000.0,26/08/2017,2.0,2.0,804.0,26.0,-38.09187,145.19463000000005
ID788882656,6/524 Moreland Rd,2,u,400000.0,10/12/2016,1.0,1.0,73.0,59.0,-37.7528,144.9368
ID324067814,106/37 Palmerston St,2,u,620000.0,1/07/2017,2.0,1.0,0.0,6.0,-37.7969,144.9742
ID476875685,94 Davies St,4,h,1385000.0,13/05/2017,2.0,4.0,650.0,69.0,-37.7575,144.9716
ID945773098,5/14 Athelstane Gr,2,u,500000.0,19/11/2016,1.0,1.0,71.0,59.0,-37.7634,145.0406
ID205944781,20A Apsley St,3,h,820000.0,29/07/2017,1.0,4.0,650.0,69.0,-37.707679999999996,144.92586
ID722840876,5 Konrad St,3,h,1040000.0,27/11/2016,1.0,2.0,625.0,23.0,-37.927,145.0645
ID993601202,45/151 Fitzroy St,2,u,600000.0,29/07/2017,1.0,1.0,0.0,89.0,-37.85911,144.97899999999996
ID192049726,124 Westgarth St,3,h,1481000.0,13/08/2016,2.0,1.0,138.0,119.0,-37.795,144.9806
ID978985696,241 Buckley St,4,h,1380000.0,12/08/2017,2.0,2.0,766.0,139.0,-37.75595,144.90551000000005
ID911857628,1/150 Peel St,2,u,541000.0,15/07/2017,1.0,1.0,0.0,15.0,-37.8044,144.95657
ID894511074,25 Myrniong Gr,5,h,3750000.0,6/05/2017,3.0,4.0,858.0,59.0,-37.8395,145.0534
ID801689015,11 Young St,3,h,1910000.0,12/08/2017,2.0,1.0,348.0,59.0,-37.86014,145.04221
ID241224254,54b Napier St,2,u,612000.0,14/05/2016,1.0,1.0,0.0,109.0,-37.8346,144.9673
ID246345423,60 Arden St,4,h,1475000.0,12/08/2017,2.0,1.0,137.0,3.0,-37.80072,144.9496
ID387713441,47 Pasco St,4,h,1920000.0,15/07/2017,2.0,0.0,388.0,119.0,-37.86159,144.89926
ID936101822,57 Warmington Rd,3,h,500000.0,27/11/2016,1.0,2.0,627.0,49.0,-37.8023,144.8227
ID213903470,2 Jenkins Cl,5,h,850000.0,29/07/2017,3.0,2.0,651.0,69.0,-37.796820000000004,145.21731
ID231617510,93 Burke Rd,3,h,770000.0,19/08/2017,1.0,0.0,720.0,99.0,-37.87356,145.27515
ID499792537,6 Sedge Ct,4,h,1005000.0,20/05/2017,2.0,5.0,768.0,39.0,-37.6947,144.9851
ID339027653,1/119 Melrose Dr,4,h,586000.0,8/07/2017,1.0,3.0,0.0,44.0,-37.70695,144.88513999999995
ID154733490,9 Bishop Pl,4,h,652000.0,3/09/2017,1.0,5.0,548.0,69.0,-37.65256,145.04093
ID504583923,126 Albert St,3,h,600000.0,12/06/2016,1.0,3.0,503.0,69.0,-37.739000000000004,145.0238
ID784485350,488 Middleborough Rd,3,h,1020000.0,22/07/2017,1.0,4.0,624.0,29.0,-37.81112,145.14043
ID808039426,188 Rachelle Rd,3,h,835000.0,8/04/2017,2.0,2.0,700.0,39.0,-37.7322,144.8722
ID126907785,1/37 Hampton Pde,3,h,723000.0,10/09/2016,1.0,2.0,302.0,81.0,-37.8066,144.8666
ID448109695,36 Aberfeldie St,3,h,1850000.0,3/06/2017,2.0,2.0,596.0,69.0,-37.76086,144.90497
ID786840880,16/43 Arndt Rd,2,u,541000.0,29/07/2017,1.0,1.0,133.0,69.0,-37.72136,144.92932
ID906444533,2/43 Kangaroo Rd,2,u,825000.0,8/10/2016,1.0,1.0,0.0,44.0,-37.898,145.0734
ID253736396,33 Baxter Av,3,h,875000.0,16/09/2017,1.0,3.0,534.0,49.0,-38.046659999999996,145.12354
ID565807745,12/228 The Avenue,1,u,500000.0,27/11/2016,1.0,1.0,2431.0,129.0,-37.7821,144.9576
ID434302906,2 Harry St,3,h,1195000.0,27/11/2016,1.0,2.0,601.0,12.0,-37.9386,145.0317
ID782819853,71 Carlisle St,3,h,1030000.0,28/05/2016,1.0,1.0,292.0,11.0,-37.8677,144.984
ID985646675,107A Charles St,3,t,1420000.0,17/06/2017,2.0,2.0,187.0,4.0,-37.84714,144.98927
ID917954022,11 Leura Ct,3,h,627000.0,22/07/2017,1.0,2.0,573.0,59.0,-37.69148,144.89873
ID459218106,31 Smart St,2,h,1800000.0,13/05/2017,1.0,0.0,221.0,119.0,-37.8163,145.0251
ID758152605,2/11 Elizabeth St,4,t,950000.0,27/05/2017,2.0,2.0,189.0,8.0,-37.76048,145.08476000000005
ID658147215,190 Gore St,2,h,1440000.0,17/09/2016,1.0,0.0,95.0,129.0,-37.8032,144.9825
ID400749718,5/143 Canterbury Rd,1,u,400000.0,8/10/2016,1.0,1.0,0.0,89.0,-37.8522,144.9678
ID999499147,73a Victoria St,4,h,2075000.0,6/05/2017,3.0,2.0,324.0,10.0,-37.8622,144.8884
ID519371646,1/12 Grenville St,2,u,860000.0,29/04/2017,1.0,1.0,90.0,57.0,-37.9354,144.9994
ID643371003,2 Benston St,4,h,725000.0,3/06/2017,2.0,3.0,854.0,69.0,-37.59908,144.93954
ID872012979,804/2 Claremont St,2,u,460000.0,22/07/2017,2.0,0.0,0.0,5.0,-37.83863,144.99379
ID170313767,21 Sackville St,4,h,940000.0,16/09/2017,2.0,2.0,870.0,69.0,-37.7264,145.12749
ID249052742,452 Dandenong Rd,3,h,1750000.0,3/09/2016,2.0,2.0,692.0,64.0,-37.8629,145.019
ID667536403,11A Murray St,3,h,1100000.0,13/05/2017,2.0,1.0,169.0,109.0,-37.7595,144.9255
ID797556231,310/330 Lygon St,2,u,445000.0,27/06/2016,1.0,1.0,0.0,119.0,-37.7685,144.9724
ID977940146,2/222 Milleara Rd,3,u,470000.0,14/05/2016,1.0,1.0,254.0,49.0,-37.74800000000001,144.863
ID233291854,1 Flinders St,3,h,821000.0,26/08/2017,1.0,2.0,581.0,44.0,-37.72282,144.85681
ID659338803,165 Osborne St,4,h,1630000.0,29/04/2017,2.0,2.0,260.0,13.0,-37.8657,144.8942
ID295724134,9 Barnet St,3,h,1460000.0,22/07/2017,2.0,2.0,725.0,69.0,-37.95008,145.03203
ID339683283,42 McCracken St,4,h,1365000.0,22/08/2016,2.0,1.0,242.0,16.0,-37.7913,144.9275
ID798383302,22 Cootamundra Cr,3,h,1350000.0,15/07/2017,2.0,1.0,601.0,39.0,-37.81224,145.15594
ID642479281,7 Molesworth St,5,h,3160000.0,13/05/2017,5.0,2.0,811.0,7.0,-37.8013,145.028
ID304036498,2206/60 Market St,1,u,450000.0,12/11/2016,1.0,0.0,0.0,59.0,-37.8178,144.9607
ID917293844,38 Caroline Dr,3,h,1350000.0,12/08/2017,2.0,3.0,725.0,24.0,-37.76616,145.11207
ID630494356,38 Daisy St,3,h,1040000.0,12/08/2017,1.0,1.0,756.0,58.0,-37.82909,145.233
ID972647839,2 Day St,3,h,695000.0,29/07/2017,1.0,0.0,694.0,69.0,-37.788709999999995,144.81368999999995
ID983247908,181 Rae St,2,h,937500.0,23/04/2016,1.0,0.0,100.0,129.0,-37.788000000000004,144.9791
ID817780680,1/276 Grange Rd,2,h,790000.0,24/06/2017,1.0,2.0,253.0,59.0,-37.90173,145.04466000000005
ID151658036,1B Hepburn St,3,h,1780000.0,18/03/2017,3.0,2.0,88.0,8.0,-37.824,145.0427
ID804693017,24 Oxford St,3,h,675000.0,19/08/2017,1.0,1.0,160.0,83.0,-37.79219000000001,144.87575
ID386556568,7 Neville St,4,h,970000.0,10/12/2016,2.0,4.0,659.0,69.0,-37.7467,144.8683
ID893619295,1/100 Balwyn Rd,2,u,460000.0,27/05/2017,1.0,1.0,0.0,59.0,-37.81172,145.08175
ID371373079,29 Essex Rd,4,h,1810000.0,16/09/2017,3.0,2.0,349.0,22.0,-37.82832,145.09242
ID319486951,20 Ward St,4,h,2405000.0,3/06/2017,2.0,2.0,604.0,89.0,-37.86513,145.07918999999995
ID755557751,4 Raymond St,4,h,840000.0,30/07/2016,1.0,2.0,390.0,69.0,-37.7395,144.9843
ID180850845,317/99 Dow St,2,u,520000.0,8/04/2017,1.0,1.0,2166.0,7.0,-37.8415,144.9412
ID352456714,139 Christmas St,3,h,750000.0,18/06/2016,2.0,1.0,170.0,49.0,-37.7674,145.0209
ID933589520,32 Carnarvon Rd,4,h,1140000.0,8/07/2017,2.0,2.0,0.0,14.0,-37.73831,144.91114
ID849864945,503/6 Lord St,2,u,1040000.0,10/09/2016,2.0,2.0,0.0,6.0,-37.8198,145.005
ID141723913,22 Pitt St,3,h,1068000.0,27/11/2016,2.0,2.0,609.0,49.0,-37.9213,145.0854
ID474623670,11 Leafield St,4,h,1171000.0,16/07/2016,3.0,2.0,670.0,9.0,-37.7122,145.0765
ID942473989,55 McKinnon Rd,4,h,1830000.0,26/08/2017,2.0,1.0,567.0,90.0,-37.90998,145.03082
ID994364543,45 Parry Rd,4,h,895000.0,27/05/2017,3.0,2.0,792.0,24.0,-37.689659999999996,145.14649
ID993590174,1/5 The Terrace,2,u,852000.0,22/04/2017,1.0,1.0,869.0,39.0,-37.8603,145.0224
ID529014361,29 Bennett St,3,h,1088000.0,16/04/2016,3.0,2.0,168.0,104.0,-37.8126,145.0064
ID176745391,53 Moonya Rd,4,h,1423000.0,19/11/2016,3.0,4.0,838.0,54.0,-37.8972,145.0617
